Date,Account,Invoice_File,Description,Category,Amount
3/19/25,CHK_1203,031925KK0648.pdf,Texas Secretary of State Filing,Legal & Compliance,$1.00
4/27/25,CHK_1203,amazon.pdf,Amazon Drop Cloths Research,Equipment & Supplies,$17.99
4/27/25,CHK_1203,Amazon1.pdf,Mac Mini Desktop Computer,Equipment & Supplies,$597.84
4/27/25,CHK_1203,amazon2.pdf,USB C to USB Adapters,Equipment & Supplies,$8.47
5/12/25,CHK_1203,amazon4.pdf,Ecotez Drop Cloths Research,Equipment & Supplies,$10.90
6/20/25,CHK_1203,Receipt-2115-1847-9025.pdf,Claude.AI Subscription,IT Software & Technology,$106.65
7/20/25,CHK_1203,Receipt-2296-7524-4635.pdf,Claude.AI Subscription,IT Software & Technology,$213.20
7/31/25,CHK_1203,5320045510.pdf,Google Workspace,IT Software & Technology,$59.49
8/1/25,CHK_1203,Invoice_2252781985.pdf,AWS Services,IT Software & Technology,$33.44
8/27/25,CHK_1203,BANK STATEMENT.pdf,Wire Transfer Fee (8/27/25),Banking & Fees,$25.00
8/27/25,CHK_1203,BANK STATEMENT.pdf,Domestic Wire Fee (8/27/25),Banking & Fees,$25.00
9/2/25,CHK_9899,5341344840.pdf,Google Workspace Business Standard,IT Software & Technology,$73.35
9/2/25,CHK_9899,Invoice_2298131597.pdf,AWS Services,IT Software & Technology,$33.53
9/3/25,CHK_9899,Bank Statement,Payroll Payment (Net after taxes),Payroll,$3229.21
9/4/25,CHK_9899,D-1_Proforma_Invoice_July2025_32567.pdf,Manufacturing - Jiangsu Zhiwei Batch 1,Manufacturing & Production,$32567.19
9/4/25,CHK_9899,D-2_Proforma_Invoice_July2025_13831.pdf,Manufacturing - Jiangsu Zhiwei Batch 2,Manufacturing & Production,$6915.39
9/4/25,CHK_9899,D-6_Packaging_Invoice_Aug2025_5322.pdf,Packaging - CTBC Bank,Manufacturing & Production,$5321.79
9/4/25,CHK_9899,Attorney_Trademark_Invoice.pdf,Trademark Registration,Legal & Compliance,$1420.00
9/4/25,CHK_9899,Bank Statement,International Wire Fee,Banking & Fees,$40.00
9/4/25,CHK_9899,Bank Statement,International Wire Fee,Banking & Fees,$40.00
9/5/25,CHK_9899,D-3_Proforma_Invoice_Aug2025_1385.pdf,Manufacturing - Additional Order (Pending),Manufacturing & Production,$1385.47
9/5/25,CHK_9899,Bank Statement,Chase Card Payment - Cloudflare Domain,IT Software & Technology,$11.86
9/5/25,CHK_9899,C-8_Commercial_Liability_Insurance_Receipt.pdf,Commercial Liability Insurance (Credit Card),Insurance,$424.00
9/5/25,CHK_9899,Bank Statement,International Wire Fee,Banking & Fees,$40.00
9/5/25,CHK_9899,Bank Statement,International Wire Fee,Banking & Fees,$40.00